# INFORMACIÓN DE PELÍCULAS OBTENIDA MANUALMENTE VÍA GEMINI
# ================================================================
#
# PROCESO MANUAL UTILIZADO:
# 1. Se tomó la lista de películas únicas del archivo "nombres_unicos_prioritarios.txt"
#    (ordenada de más falta de información a menor falta de información)
# 2. Se copió y pegó la lista completa en Google Gemini
# 3. Se solicitó a Gemini que completara la información faltante (DIRECTOR y ACTOR_PRINCIPAL)
#    para cada película en la medida de lo posible
#
# AUTOMATIZACIÓN FUTURA:
# Este proceso manual se puede automatizar en posteriores pasos mediante:
# - Integración con la API de Google Gemini
# - Uso de credenciales de cuenta individual de cada usuario
# - Implementación de consultas automáticas por lotes
# - Validación y limpieza automática de respuestas
#
# FORMATO ESPERADO:
# Cada línea debe seguir el formato:
# NOMBRE_UNICO|DIRECTOR|ACTOR_PRINCIPAL
#
# Ejemplo:
# ALIEN ROMULUS|Fede Álvarez|Cailee Spaeny; David Jonsson
# BEETLEJUICE BEETLEJUICE|Tim Burton|Michael Keaton; Winona Ryder
#
# NOTAS:
# - Si no se encuentra información, dejar el campo vacío después del |
# - Múltiples actores separados por punto y coma (;)
# - Múltiples directores separados por punto y coma (;)
# - Mantener los nombres únicos exactamente como aparecen en la lista original
#
# ================================================================
# INFORMACIÓN RECOLECTADA (COPIAR Y PEGAR AQUÍ):
# ================================================================
NOMBRE_UNICO,DIRECTOR,ACTOR_PRINCIPAL 
 LOOK BACK CONTINÚA DIBUJANDO,Kiyotaka Oshiyama, 

 LUZ QUE IMAGINAMOS,Payal Kapadia, 

 M3GAN 2 0,Gerard Johnstone,Allison Williams 

 MALDICIÓN DE SAYURI,Kōji Shiraishi, 

 MALDICIÓN DEL BOSQUE,Corin Hardy, 

 MARÍA ME MUERO,Mór Lichter, 

 MASCOTAS AL RESCATE,Alexs Stadermann, 

 MASCOTAS AL RESCATE SJ,Alexs Stadermann, 

 MEJOR PAPÁ,Anne-Marie O'Connor, 

 MELODÍA DE UN AMOR SECRETO,A.V. Rockwell, 

 MEMORIA,Apichatpong Weerasethakul,Tilda Swinton 

 MENÚ TEMÁTICO LILO Y STITCH,, 

 MI VILLANO FAVORITO 4,Chris Renaud,Steve Carell 

 MILEY CYRUS SOMETHING BEAUTIFUL,,Miley Cyrus 

 MILEY CYRUS SOMETHING BEAUTIFUL EN,,Miley Cyrus 

 MIRACULOUS AVENTURAS DE LADYBUG CAT NOIR,Jeremy Zag, 

 MIRACULOUS LAS AVENTURAS DE LADYBUG Y CAT,Jeremy Zag, 

 MIRREYES VS GODÍNEZ LAS VEGAS,Chava Cartas,Regina Blandón 

 MISIÓN IMPOSIBLE LA SENTENCIA,Christopher McQuarrie,Tom Cruise 

 MISIÓN IMPOSIBLE LA SENTENCIA FINAL,Christopher McQuarrie,Tom Cruise 

 MISIÓN IMPOSIBLE LA SENTENCIA FINAL LED,Christopher McQuarrie,Tom Cruise 

 MISIÓN IMPOSIBLE SENTENCIA,Christopher McQuarrie,Tom Cruise 

 MISTURA,Ricardo de Montreuil, 

 MIX 300 CARTAS,Lucas Santa Ana, 

 MIX CORTOS PANORAMA PROGRAMA 1,, 

 MIX EL SILENCIO DE MIS MANOS,Manuel Acuña, 

 MOANA 2 SJ,Dave Derrick Jr.,Auliʻi Cravalho 

 MONO,Gustav Möller, 

 MONO BR,Gustav Möller, 

 MOON SOBREVIVIENTE,Duncan Jones,Sam Rockwell 

 MUFASA EL REY LEÓN,Barry Jenkins,Aaron Pierre 

 NADIE 2,Timo Tjahjanto,Bob Odenkirk 

 NIÑA DE MIS OJOS,Selman Nacar, 

 NO ENTRES,Fede Álvarez, 

 NO HABLES CON EXTRAÑOS,James Watkins,James McAvoy 

 NO HAY OTRA TIERRA,Basel Adra, Yuval Abraham, Hamdan Ballal & Rachel Szor, 

 NO NOS MOVERÁN,Pierre Saint-Amand, 

 NO TE MUERAS POR MI,Carlos R. Contreras, 

 NO TE SUELTES,Christian E. Christiansen, 

 NOCHE DE LOS DESAPARECIDOS,Robin Campillo, 

 NOSFERATU,Robert Eggers,Bill Skarsgård 

 NOSFERATU BR,Robert Eggers,Bill Skarsgård 

 NOSOTROS LOS DE LA FE,Julio Roman, 

 NOVOCAINE SIN DOLOR,Dan Berk & Robert Olsen,Jack Quaid 

 OPERACIÓN PANDA MISIÓN RESCATE,Vasily Rovenskiy, 

 OPERACIÓN ZOMBIE RESURRECCIÓN,Freddie Hutton-Mills & Bart Ruspoli, 

 OSHI NO KO EL ÚLTIMO ACTO,Daisuke Hiramaki, 

 OTRO VIERNES DE LOCOS,Nisha Ganatra,Jamie Lee Curtis 

 OVERLORD EL REINO SAGRADO,Naoyuki Itō, 

 PADDINGTON AVENTURA EN LA SELVA,Dougal Wilson,Ben Whishaw 

 PADDINGTON EN PERÚ,Dougal Wilson,Ben Whishaw 

 PANDA EN ÁFRICA,Richard Claus & Karsten Kiilerich, 

 PATOS,Benjamin Renner,Kumail Nanjiani 

 PECADORES BR,B. Harrison Smith, 

 PELÍCULA DE MINECRAFT,Jared Hess,Jason Momoa 

 PELÍCULA SORPRESA,, 

 PELÍCULA SORPRESA VIP,, 

 PETER PAN EL INFIERNO DEL NUNCA JAMÁS,Scott Jeffrey, 

 PETER PAN PESADILLA EN LA TIERRA DEL NUNCA,Scott Jeffrey, 

 PINK FLOYD AT POMPEII MCMLXXII,Adrian Maben, 

 PINK FLOYD EN POMPEII MCMLXXII,Adrian Maben, 

 PITUFOS,Chris Miller, 

 POMPOKO LA GUERRA DE LOS MAPACHES,Isao Takahata, 

 POZO RITUALES SATÁNICOS,Paul Urkijo Alijo, 

 PRESENCIA,Steven Soderbergh,Lucy Liu 

 PRINCESA MONONOKE,Hayao Miyazaki, 

 PROYECTO FANTASMA,Roberto Doveris, 

 PRUEBAS MENÚ TEMÁTICO,, 

 PUERTA DEL INFIERNO,Tarik Saleh, 

 PUTIN,Patryk Vega, 

 PÉRDIDA TOTAL,Antoine Fuqua, 

 QUEER,Luca Guadagnino,Daniel Craig 

 QUIMERA DE ORO,Lila Avilés, 

 QUIMERA DEL ORO 100 AÑOS,Lila Avilés, 

 RADLEY,James Kathleen, 

 RE ANTES DEL ATARDECER,Richard Linklater,Ethan Hawke 

 RE CARRIE,Brian De Palma,Sissy Spacek 

 RE EL CONJURO,James Wan,Vera Farmiga 

 RE EL CONJURO 2,James Wan,Vera Farmiga 

 RE EL CONJURO 3,Michael Chaves,Patrick Wilson 

 RE ESTRENO EXTERMINIO,Danny Boyle,Cillian Murphy 

 RE ESTRENO INTERESTELAR,Christopher Nolan,Matthew McConaughey 

 RE GLADIADOR,Ridley Scott,Russell Crowe 

 RE INTERESTELAR 2014,Christopher Nolan,Matthew McConaughey 

 RE ORGULLO Y PREJUICIO,Joe Wright,Keira Knightley 

 RE PESADILLA EN LA CALLE ELM,Wes Craven,Robert Englund 

 RE SEVEN 1995,David Fincher,Brad Pitt 

 RE TERMINATOR,James Cameron,Arnold Schwarzenegger 

 RE VOLVER AL FUTURO 2,Robert Zemeckis,Michael J. Fox 

 RESCATE IMPLACABLE,Mabrouk El Mechri,Henry Cavill 

 RESCATE IMPOSIBLE,William Eubank,Russell Crowe 

 REY DE REYES,Cecil B. DeMille, 

 RITUAL MALDITO,Russell Crowe, 

 ROBO PERFECTO PANTERA,Ljubomir Stefanov & Tamara Kotevska, 

 ROSES,Lluís Danés, 

 SATURDAY NIGHT LA NOCHE QUE CAMBIÓ LA COMEDIA,Jason Reitman,Gabriel LaBelle 

 SCREAMBOAT LA MASACRE DEL RATÓN,Steven LaMorte, 

 SEMILLA DEL FRUTO SAGRADO,Mohammad Rasoulof, 

 SER MILLONARIO ANTES QUE MUERA LA ABUELA,Pat Boonnitipat,Putthipong Assaratanakul 

 SEÑOR DE LOS ANILLOS LA GUERRA DE LOS,Kenji Kamiyama,Brian Cox 

 SFF GEN_,Horacio Alcalá, 

 SFF TOGETHER,Michael Shanks, 

 SHADOW FORCE SENTENCIA DE MUERTE,Joe Carnahan,Kerry Washington 

 SNEAKS UN PAR CON SUERTE,Rob Edwards, 

 SOBREVIVIENDO AL MAREMOTO,Richard Holm, 

 SOLTERA CASADA VIUDA DIVORCIADA,Ani Alva Helfer,Gianella Neyra 

 SOLTERA CASADA VIUDA DIVORCIADA 2,Ani Alva Helfer,Gianella Neyra 

 SONIC 2 LA PELÍCULA,Jeff Fowler,Ben Schwartz 

 SONIC 3 LA PELÍCULA,Jeff Fowler,Ben Schwartz 

 SONIC 3 LA PELÍCULA LED,Jeff Fowler,Ben Schwartz 

 SONRÍE 2,Parker Finn,Naomi Scott 

 SR BLAKE A SUS ÓRDENES,Gilles Legardinier,John Malkovich 

 STAR WARS EPISODIO III LA VENGANZA DE,George Lucas,Ewan McGregor 

 STAR WARS EPISODIO III LA VENGANZA DE LOS,George Lucas,Ewan McGregor 

 STAR WARS EPISODIO III LA VENGANZA DE LOS BR,George Lucas,Ewan McGregor 

 STELLA UNA VIDA,Kilian Riedhof, 

 STING ARAÑA ASESINA,Kiah Roache-Turner, 

 SUJO,Astrid Rondero & Fernanda Valadez,Juan Jesús Varela 

 SUPER MAN LA HISTORIA DE CHRISTOPHER REEVE,Ian Bonhôte & Peter Ettedgui, 

 SUPERMAN,James Gunn,David Corenswet 

 SUSURROS MORTALES 2,Renny Harlin, 

 SÉ LO QUE HICIERON EL VERANO PASADO,Jennifer Kaytin Robinson, 

 TCF EL ACUSADO,Yvan Attal, 

 TCF LOS COLORES DEL TIEMPO,James Franco & Edna Luise Biesold, 

 THUNDERBOLTS,Jake Schreier,Florence Pugh 

 TIEMPO DE GUERRA,Alex Garland,Kirsten Dunst 

 TIEMPO QUE TENEMOS,James D'Arcy, 

 TIERRAS PERDIDAS,Paul W.S. Anderson,Milla Jovovich 

 TIPOS MALOS,Pierre Perifel,Sam Rockwell 

 TIPOS MALOS 2,Pierre Perifel,Sam Rockwell 

 TIPOS MALOS 2 SJ,Pierre Perifel,Sam Rockwell 

 TIPOS MALOS SJ,Pierre Perifel,Sam Rockwell 

 TOGETHER JUNTOS HASTA LA MUERTE,Michael Shanks, 

 TONI Y SU FAMILIA,Nathan Ambrosioni, 

 TORMENTA DE NIEVE CATÁSTROFE POLAR,Emilia Ruiz, 

 TORNADOS CATEGORÍA 5,Lee Isaac Chung,Daisy Edgar-Jones 

 TRANSFORMERS UNO,Josh Cooley,Chris Hemsworth 

 TRAPEZIUM LA PELÍCULA,Masahiro Shinohara, 

 TURNO NOCTURNO,Benjamin China & Paul China, 

 UNTIL DAWN NOCHE DE TERROR,David F. Sandberg,Ella Rubin 

 VENOM EL ÚLTIMO BAILE,Kelly Marcel,Tom Hardy 

 VIAJE DE CHIHIRO,Hayao Miyazaki, 

 VIDA DE CHUCK,Mike Flanagan,Tom Hiddleston 

 WICKED,Jon M. Chu,Cynthia Erivo 

 WICKED BR,Jon M. Chu,Cynthia Erivo 

 WICKED LED,Jon M. Chu,Cynthia Erivo 

 Y DÓNDE ESTÁ EL POLICÍA,Akiva Schaffer,Liam Neeson 

 ZAFARI,David Weinstein, 

 ÚLTIMO VIAJE,Anna Marsh, 

 Lista de Títulos, Directores y Actores Principales 

 1938 CUANDO EL PETRÓLEO FUE NUESTRO: Joaquín Pseudo, 

 1992 NOCHE SIN LEY: , 

 200 LOBO: Rodrigo "Lobo" Courdurier, 

 4 FANTÁSTICOS PRIMEROS PASOS FES: Matt Shakman, Pedro Pascal 

 4 FANTÁSTICOS PRIMEROS PASOS FINA: Matt Shakman, Pedro Pascal 

 4 FANTÁSTICOS PRIMEROS PASOS FINB: Matt Shakman, Pedro Pascal 

 48HFP 2024 GRUPO A: , 

 48HFP 2024 GRUPO C: , 

 48HFP 2024 GRUPO D: , 

 48HFP 2024 GRUPO E: , 

 48HFP 2024 GRUPO F: , 

 48HFP 2024 GRUPO G: , 

 48HFP 2024 GRUPO H: , 

 48HFP 2024 GRUPO I: , 

 48HFP 2024 GRUPO J: , 

 48HFP 2024 GRUPO K: , 

 48HFP 2024 GRUPO L: , 

 48HFP 2024 GRUPO M: , 

 48HFP 2024 GRUPO N: , 

 6DAYS: Toa Fraser, Jamie Bell 

 76MICT CERRAR LOS OJOS: Víctor Erice, Manolo Solo 

 76MICT EL PESAR DE LOS SUEÑOS: Juana Lotero, 

 76MICT MEMORY: Michel Franco, Jessica Chastain 

 76MICT MISERICORDIA: Emma Dante, Simone Zambelli 

 76MICT PROFUNDO CARMESÍ: Arturo Ripstein, Regina Orozco 

 76MICT SIMÓN DE LA MONTAÑA: Federico Luis, Lorenzo Ferro 

 76MICT TIERRA DE HERMANOS: Hlynur Pálmason, Elliott Crosset Hove 

 ACABA CON ELLOS: Felipe Gálvez Haberle, Alfredo Castro 

 ACREDITACIÓN FICM 2025: , 

 ADO SPECIAL LIVE SHINZOU EN CINES: , Ado 

 ALARUM CÓDIGO LETAL: Michael Polish, Sylvester Stallone 

 ALAS BLANCAS: Paul-André Robin, 

 ALIEN ROMULUS: Fede Álvarez, Cailee Spaeny 

 ALMAS MARCADAS: Mauro Mauad, 

 ALTO KNIGHTS MAFIA Y PODER: Barry Levinson, Robert De Niro 

 AMATEUR OPERACIÓN VENGANZA BR: James Hawes, Rami Malek 

 AMATEUR OPERACIÓN VENGANZA LED: James Hawes, Rami Malek 

 AMB APOCALIPSIS EN LOS TRÓPICOS: Petra Costa, 

 AMB BINNIGULA SA LOS ANTIGUOS ZAPOTECAS: Enrique H. Mendoza, 

 AMB CAMERAPERSON: Kirsten Johnson, 

 AMB CORAZÓN DE PERRO: Laurie Anderson, 

 AMB DIARIO DE MI SEXTORSIÓN: Joserra Zúñiga, 

 AMB EL OBJETO ANTES LLAMADO DISCO: Elisa Cepedal, 

 AMB EL PROYECTO DEL ASESINO DEL ZODIACO: Tom Hanson, 

 AMB LA LIBERTAD DE FIERRO: Julio H. Cordón, 

 AMB LA LIBERTAD DEL DIABLO: Everardo González, 

 AMB LA PESADILLA DE DARWIN: Hubert Sauper, 

 AMB LEVIATÁN: Lucien Castaing-Taylor & Véréna Paravel, 

 AMB LI CHAM MORÍ: Isabel Vaca, 

 AMB PINA: Wim Wenders, Pina Bausch 

 AMB SALÓN DE BAILE: María T. Larraín, 

 AMB SANTIAGO: João Moreira Salles, 

 AMB VIVAN LAS ANTÍPODAS: Viktor Kossakovsky, 

 AMIGOS IMAGINARIOS: John Krasinski, Ryan Reynolds 

 AMORES MATERIALISTAS BR: Fernando Frías de la Parra, Thomasin McKenzie 

 AMORES MATERIALISTAS LED: Fernando Frías de la Parra, Thomasin McKenzie 

 AN EVENING WITH DUA LIPA EN CINES: , Dua Lipa 

 ANDREA BOCELLI 30 THE CELEBRATION: , Andrea Bocelli 

 ANDREA BOCELLI BECAUSE I BELIEVE: , Andrea Bocelli 

 ANIMALES PELIGROSO: Dean Fleischer Camp, Jason Statham 

 APOCALIPSIS DE SAN JUAN: Raúl García, 

 APOCALIPSIS RADIOACTIVO: Giga Agladze, Jim Sturgess 

 APOCALIPSIS ZOMBIE PACIENTE Z: Jacobo Rispa, 

 AQUÍ: Robert Zemeckis, Tom Hanks 

 ARGONAUTAS: David Freyne, Shazad Latif 

 ARGONAUTAS SJ: David Freyne, Shazad Latif 

 ARILLO DE HOMBRE MUERTO: Alejandro Gerber Bicecci, 

 ARMADOS: Ardit Sadiku, 

 ARMAGEDÓN DIOSES DEL APOCALIPSIS: Chino Moya, 

 ARMAND UNA ACUSACIÓN PELIGROSA: Halfdan Ullmann Tøndel, Renate Reinsve 

 ASESINO SERIAL: Kevin Greutert, Kiefer Sutherland 

 ATAQUE ZOMBIE ESTACIÓN GANGNAM: Lee Soo-seong, Ji Il-joo 

 ATEEZ TOWARDS THE LIGHT WILL TO POWER: , ATEEZ 

 ATEEZ WORLD TOUR HACIA LA LUZ VOLUNTAD DE: , ATEEZ 

 ATEEZ WORLD TOUR TOWARDS THE LIGHT: , ATEEZ 

 ATENTADO EN MADRID: Daniel Calparsoro, Javier Rey 

 AUTOS M A Y ROCANROL: Everardo Valerio, 

 AVENTURAS CANINAS EL MISTERIO DE LA CORONA: Stephen Shimek, 

 AVENTURAS CANINAS EL MISTERIO DE LA CORONA SJ: Stephen Shimek, 

 AVENTURAS DE DOG MAN: Peter Hastings, 

 AVENTURAS DE DOG MAN SJ: Peter Hastings, 

 AÚN ESTOY AQUÍ: Walter Salles, Fernanda Montenegro 

 BABYGIRL DESEO PROHIBIDO: Halina Reijn, Nicole Kidman 

 BAEKHYUN: , Baekhyun 

 BAEKHYUN LONSDALEITE: , Baekhyun 

 BAEKHYUN LONSDALEITE EN CINES: , Baekhyun 

 BAGMAN EL ESPÍRITU DEL MAL: Colm McCarthy, Sam Claflin 

 BAGMAN ESPÍRITU DEL MAL: Colm McCarthy, Sam Claflin 

 BAILARINA BR: Len Wiseman, Ana de Armas 

 BAILARINA LED: Len Wiseman, Ana de Armas 

 BAMBI UNA AVENTURA EN EL BOSQUE SJ: David Hand & James Algar, 

 BARBIE: Greta Gerwig, Margot Robbie 

 BECOMING LED ZEPPELIN: Bernard MacMahon, 

 BECOMING LED ZEPPELIN LOS INICIOS: Bernard MacMahon, 

 BEETLEJUICE BEETLEJUICE: Tim Burton, Michael Keaton 

 BETTER MAN LA HISTORIA DE ROBBIE SING ALONG: Michael Gracey, Robbie Williams 

 BETTER MAN LA HISTORIA DE ROBBIE W SING ALONG: Michael Gracey, Robbie Williams 

 BETTER MAN LA HISTORIA DE ROBBIE WILLIAMS: Michael Gracey, Robbie Williams 

 BETTER MAN LA HISTORIA DE ROBBIE WILLIAMS BR: Michael Gracey, Robbie Williams 

 BIRD EMPRENDER EL VUELO: Andrea Arnold, Barry Keoghan 

 BJÖRK CORNUCOPIA: , Björk 

 BJÖRK CORNUCOPIA EN CINES: , Björk 

 BLANCA NIEVES FINA: Marc Webb, Rachel Zegler 

 BLANCA NIEVES FINB: Marc Webb, Rachel Zegler 

 BLANCA NIEVES SJ: Marc Webb, Rachel Zegler 

 BLUEY JUGUEMOS A SER CHEF: , 

 BLUEY JUGUEMOS A SER CHEF SJ: , 

 BLUR LIVE AT WEMBLEY STADIUM: Toby L, Damon Albarn 

 BRIDGET JONES LOCA POR ÉL BR: Michael Morris, Renée Zellweger 

 BRUJA: Yana Titova, 

 BRUTALISTA: Brady Corbet, Adrien Brody 

 BTS 2016 HYYH ON STAGE EPILOGO REMASTERIZ: , BTS 

 BTS 2016 HYYH ON STAGE EPILOGO REMASTERIZADO: , BTS 

 BTS 2017 THE WINGS TOUR FINAL REMASTERIZADO: , BTS 

 BTS 2017 THE WINGS TOUR THE FINAL REMASTERI: , BTS 

 BTS 2017 THE WINGS TOUR THE FINAL REMASTERIZAD: , BTS 

 BTS 2019 SPEAK YOURSELF LONDON REMASTERIZADO: , BTS 

 BTS 2019SPEAK YOURSELF LONDON REMASTERIZA: , BTS 

 BTS 2021 MUSTER SOWOOZOO REMASTERIZADO: , BTS 

 BTS ARMY FOREVER WE ARE YOUNG: , BTS 

 BTS MAP OF THE SOUL ON E: , BTS 

 BUEN SALVAJE: Santiago Mohar Volkow, 

 CAPITÁN AMÉRICA UN NUEVO MUNDO: Julius Onah, Anthony Mackie 

 CAPITÁN AMÉRICA UN NUEVO MUNDO BR: Julius Onah, Anthony Mackie 

 CAPITÁN AMÉRICA UN NUEVO MUNDO SJ: Julius Onah, Anthony Mackie 

 CAPITÁN AVISPA: Jean Gabriel Guerra & Jonathan Meléndez, Juan Luis Guerra 

 CARGA MÁS PRECIADA: Michel Hazanavicius, 

 CHARLIE UN PERRO ESPECIAL: Dean Cain, 

 CHOSEN LA ÚLTIMA CENA: Dallas Jenkins, Jonathan Roumie 

 CHOSEN T4 EP 5 Y 6: Dallas Jenkins, Jonathan Roumie 

 CHOSEN ÚLTIMA CENA: Dallas Jenkins, Jonathan Roumie 

 COCINA: Alonso Ruizpalacios, Raúl Briones Carmona 

 COLORFUL STAGE LA PELÍCULA MIKU NO PUEDE CA: Hiroyuki Oshima, 

 COLORFUL STAGE MIKU NO PUEDE CANTAR: Hiroyuki Oshima, 

 COMPLETO DESCONOCIDO: James Mangold, Timothée Chalamet 

 CONJURO 4 ÚLTIMOS RITOS BR: Michael Chaves, Patrick Wilson 

 CONJURO 4 ÚLTIMOS RITOS FES: Michael Chaves, Patrick Wilson 

 CONJURO 4 ÚLTIMOS RITOS FINA: Michael Chaves, Patrick Wilson 

 CONJURO 4 ÚLTIMOS RITOS LED: Michael Chaves, Patrick Wilson 

 CONTADOR 2 BR: Gavin O'Connor, Ben Affleck 

 CORTE DIRECTOR PÁRVULOS HIJOS DEL APOCALIPSIS: Elias Matar, 

 CUADRILÁTERO: Daniela Castro & Nicolás Pimentel, 

 CUANDO EL DEMONIO LLAMA: Alberto Corredor, Freya Allan 

 CUENTO DE LA PRINCESA KAGUYA: Isao Takahata, 

 CUENTO DE PESCADORES: Marco Almada, 

 CÓDIGO NEGRO BR: Ric Roman Waugh, Gerard Butler 

 CÓDIGO NEGRO LED: Ric Roman Waugh, Gerard Butler 

 CÓDIGO TRAJE ROJO SJ: , 

 CÓMO ENTRENAR A TU DRAGÓN FINA: Dean DeBlois, Mason Thames 

 CÓMO ENTRENAR A TU DRAGÓN FINB: Dean DeBlois, Mason Thames 

 CÓNCLAVE BR: Edward Berger, Ralph Fiennes 

 DAFT PUNK LEIJI MATSUMOTO INTERSTELLA: Kazuhisa Takenouchi, 

 DAFT PUNK LEIJI MATSUMOTO INTERSTELLA 5555: Kazuhisa Takenouchi, 

 DALIA Y EL LIBRO ROJO SJ: David Bisbano, 

 DAN DA DAN: Fuga Yamashiro, 

 DAVID GILMOUR: , David Gilmour 

 DAVID GILMOUR CONCIERTO EN EL CIRCO MÁ: , David Gilmour 

 DAVID GILMOUR LIVE AT THE CIRCUS MAXIMUS: , David Gilmour 

 DAVID GILMOUR LIVE CIRCUS MAXIMUS ROME: , David Gilmour 

 DE LA LUZ Y DE LAS SOMBRAS: Taiina, 

 DEMON SLAYER EL TREN INFINITO: Haruo Sotozaki, 

 DEMON SLAYER EL TREN INFINITO BR: Haruo Sotozaki, 

 DEMON SLAYER KIMETSU NO YAIBA BR: Haruo Sotozaki, 

 DEMON SLAYER MUGEN TRAIN LA PELÍCULA: Haruo Sotozaki, 

 DEMONIO VIENE POR TI: Ángel Gonzalez, 

 DOS MONJAS EXORCISMOS PROHIBIDOS: Paul Catalanotto, 

 DRÁCULA MAR DE SANGRE: André Øvredal, Corey Hawkins 

 DÍA QUE LA TIERRA EXPLOTÓ LOONEY TUNES: Pete Browngardt, Eric Bauza 

 EFÍMERA: Luis Mariano García, 

 ELIO: Adrian Molina, 

 ELIO FINA: Adrian Molina, 

 ELIO FINB: Adrian Molina, 

 ELIO LED: Adrian Molina, 

 ELIO SJ: Adrian Molina, 

 EMILIA PÉREZ BR: Jacques Audiard, Zoe Saldaña 

 ENHYPEN WORLD TOUR FATE: , ENHYPEN 

 ENTRE NOSOTROS: Jude Anthany Joseph, 

 ESCAPE EXPLOSIVO: Nimród Antal, Liam Neeson 

 ESPOSA DEL PRESIDENTE: Léa Domenach, Catherine Deneuve 

 ESQUEMA FENICIO: Elias Khlat, 

 ESTACIÓN FANTASMA: Michael Crum, 

 EVENTO ESPECIAL DEMON SLAYER: , 

 EXORCISTAS TRINIDAD PROFANA: Joe Chien, 

 EXTERMINIO LA EVOLUCIÓN BR: Danny Boyle, Jodie Comer 

 EXTERMINIO LA EVOLUCIÓN LED: Danny Boyle, Jodie Comer 

 F1 BR: Joseph Kosinski, Brad Pitt 

 F1 FAN FIRST PREMIERES EXCLUSIVELY IN: , 

 F1 LED: Joseph Kosinski, Brad Pitt 

 FALLA: Juan Antonio M-R, 

 FICG A MELHOR MÃE DO MUNDO: Anna Muylaert, 

 FICG A NATUREZA DAS COISAS INVISÍVEIS: Karla Souza, 

 FICG A PROCURA DE MARTINA: Marcia Faria, 

 FICG A SAVANA E A MONTANHA: Paulo Carneiro, 

 FICG ABRACADÁVER: Manolo Caro, 

 FICG APENAS COISAS BOAS: Daniel Tavares, 

 FICG AT THE END OF THE WORLD: Ruda Santos, 

 FICG AUTOS MOTA Y ROCANROL: Everardo Valerio, 

 FICG BOCA VIEJA: Alê Abreu, 

 FICG CAFÉ CHAIREL: Carlos Enderle, 

 FICG CASA DE LAVA: Pedro Costa, 

 FICG COCODRILOS: Jorge Yúdice, 

 FICG COPAN: Caru Alves de Souza, 

 FICG CORTOMETRAJE IBEROAMERICANO 01: , 

 FICG CORTOMETRAJE IBEROAMERICANO 02: , 

 FICG CORTOMETRAJE IBEROAMERICANO 03: , 

 FICG CORTOMETRAJE IBEROAMERICANO 04: , 

 FICG CORTOMETRAJE IBEROAMERICANO 05: , 

 FICG CROMA: Jean-Christophe Meurisse, 

 FICG CUERPO CELESTE: Alice Rohrwacher, 

 FICG DOCE LUNAS: Frédéric Fonteyne, 

 FICG ECO DE LUZ: Ere de la Parra, 

 FICG EL ATARDECER DE LOS GRILLOS: Silvana Lopa, 

 FICG EL CANTO DE LAS MANOS: Paula Pires, 

 FICG EL TEMA DEL VERANO: Israel Adrián Caetano, 

 FICG ENDLESS COOKIE: Seth Scriver, 

 FICG ESTA ISLA: Svetlana Cvetko, 

 FICG FARO: Gabe Ibáñez, 

 FICG HOT MILK: Rebecca Lenkiewicz, Fiona Shaw 

 FICG ISLEÑO: David Pantaleón, 

 FICG LA GRAN HISTORIA DE LA FILOSOFÍA OCCIDENTAL: Jordi évolé, 

 FICG LA JOIA BAD GYAL: David Camarero, 

 FICG LA MEMORIA DE LAS MARIPOSAS: Tatiana Huezo, 

 FICG LA QUINTA: Leandro Listorti, 

 FICG LESBIAN SPACE PRINCESS: Veronica Kedar, 

 FICG LLAMARSE OLIMPIA: Esmir Filho, 

 FICG LLUEVE SOBRE BABEL: Gustavo Steinberg, 

 FICG LO IMPOSIBLE: J.A. Bayona, Naomi Watts 

 FICG LOS AÑOS SALVAJES: Ventura Durall, 

 FICG MAYA DONNE MOI UN TITRE: Michel Gondry, 

 FICG MIRABA CAER LAS GOTAS ILUMINADAS: Begoña Vicario, 

 FICG MOLT LLUNY: Gerard Oms, 

 FICG NAYOLA: José Miguel Ribeiro, 

 FICG NO DEJES A LOS NIÑOS SOLOS: Jorge Algora, 

 FICG NO GRACIAS YA NO FUMO: Rodrigo García, 

 FICG O ÚLTIMO AZUL: Irene Zoe Alameda, 

 FICG OLIVIA LAS NUBES: Tomás Corredor, 

 FICG ONDA NOVA: Sérgio Machado, 

 FICG ONLY ON EARTH: Robin Petré, 

 FICG ORO AMARGO: Bárbara Pestan, 

 FICG OS VERDES ANOS: Paulo Rocha, 

 FICG OURO NEGRO: Daniel Filho, 

 FICG PATIO DE CHACALES: Diego Mondaca, 

 FICG PREMIO RIGO MORA 01: , 

 FICG PREMIO RIGO MORA 02: , 

 FICG PREMIO RIGO MORA 03: , 

 FICG RUNA SIMI: Juan Sebastián Jácome, 

 FICG SABAR BONDA: M. G. Srinivas, 

